panel,study,strand_number,strand,strand_key,sequencing_pattern,metric,method,method_raw,mean_score,sd_score,win_mean,win_sd,mean_r2,sd_r2
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=0.25),RLCPspell_expcost_0.25,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=0.50),LCPspell_expcost_0.50,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=0.50),RLCPspell_expcost_0.50,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=0.75),LCPspell_expcost_0.75,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=0.75),RLCPspell_expcost_0.75,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=1.00),LCPspell_expcost_1.00,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=1.00),RLCPspell_expcost_1.00,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=1.50),LCPspell_expcost_1.50,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=1.50),RLCPspell_expcost_1.50,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=2.00),LCPspell_expcost_2.00,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=2.00),RLCPspell_expcost_2.00,0.0,0.0,0.0,0.0,0.0,0.0
